Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,22,MIA,NBA,PG,61,56,2126,371,798,.465,16,53,.302,355,745,.477,.475,233,312,.747,85,162,247,275,86,34,196,140,991
2004-05,23,MIA,NBA,SG,77,77,2974,630,1318,.478,13,45,.289,617,1273,.485,.483,581,762,.762,110,287,397,520,121,82,321,230,1854
2005-06,24,MIA,NBA,SG,75,75,2892,699,1413,.495,13,76,.171,686,1337,.513,.499,629,803,.783,107,323,430,503,146,58,268,217,2040
2006-07,25,MIA,NBA,SG,51,50,1931,472,962,.491,21,79,.266,451,883,.511,.502,432,535,.807,51,188,239,384,107,62,216,117,1397
2007-08,26,MIA,NBA,SG,51,49,1954,439,937,.469,22,77,.286,417,860,.485,.480,354,467,.758,45,169,214,354,87,37,224,137,1254
2008-09,27,MIA,NBA,SG,79,79,3048,854,1739,.491,88,278,.317,766,1461,.524,.516,590,771,.765,89,309,398,589,173,106,272,178,2386
2009-10,28,MIA,NBA,SG,77,77,2792,719,1511,.476,73,243,.300,646,1268,.509,.500,534,702,.761,107,266,373,501,142,82,252,181,2045
2010-11,29,MIA,NBA,SG,76,76,2823,692,1384,.500,63,206,.306,629,1178,.534,.523,494,652,.758,123,362,485,346,111,87,237,197,1941
2011-12,30,MIA,NBA,SG,49,49,1625,416,837,.497,15,56,.268,401,781,.513,.506,235,297,.791,73,164,237,225,82,63,129,110,1082
2012-13,31,MIA,NBA,SG,69,69,2391,569,1093,.521,17,66,.258,552,1027,.537,.528,308,425,.725,86,258,344,352,128,56,194,140,1463
2013-14,32,MIA,NBA,SG,54,53,1775,415,761,.545,9,32,.281,406,729,.557,.551,189,258,.733,60,181,241,252,79,29,161,106,1028
2014-15,33,MIA,NBA,SG,62,62,1971,509,1084,.470,29,102,.284,480,982,.489,.483,284,370,.768,58,161,219,299,73,21,209,105,1331
2015-16,34,MIA,NBA,SG,74,73,2258,540,1183,.456,7,44,.159,533,1139,.468,.459,322,406,.793,82,220,302,344,79,42,203,116,1409
